ı
----------------------------------------
AA70327.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
04/03/17	21:18:09.78	00:00:00.00	A	982_000362724188	A4	1	65534
04/03/17	23:08:28.00	00:00:00.00	R	0000_0000000174764517	A3	1	51600
04/03/17	23:24:19.34	00:00:00.00	R	0000_0000000174764517	A3	1	4713
04/04/17	01:44:50.12	00:00:00.00	R	0000_0000000174764517	A3	1	41771
04/04/17	01:57:15.53	00:00:00.00	R	0000_0000000174764517	A3	1	3692
04/04/17	04:58:29.00	00:00:00.00	R	0000_0000000174764517	A3	1	53872
04/04/17	07:04:15.36	00:00:00.00	R	0000_0000000174764517	A3	1	37389
04/05/17	02:46:42.16	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/05/17	04:22:41.15	00:00:00.00	R	0000_0000000174764517	A3	1	28537
04/05/17	04:57:21.43	00:00:00.00	R	0000_0000000174764517	A3	1	10307
04/05/17	16:01:20.28	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/06/17	04:31:32.80	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/06/17	05:45:31.36	00:00:00.00	R	0000_0000000174764517	A3	1	21986
04/06/17	22:56:32.58	00:00:00.00	R	0256_1125969069519333	A3	1	65534
04/10/17	01:55:00.40	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/10/17	09:43:14.43	00:00:00.00	A	982_000362714837	A4	1	65534
04/10/17	09:43:17.87	00:00:00.00	A	982_000362714837	A4	1	16
04/10/17	09:43:34.85	00:00:00.00	A	982_000362714837	A4	1	83
04/10/17	09:43:41.53	00:00:00.00	A	982_000362714837	A4	1	32
04/10/17	09:43:48.21	00:00:00.00	A	982_000362714837	A4	1	32
04/10/17	09:55:02.15	00:00:00.00	A	982_000362714837	A4	1	3337
04/10/17	09:55:36.53	00:00:00.00	A	982_000362714837	A4	1	169
04/10/17	09:55:39.36	00:00:00.00	A	982_000362714837	A4	1	13
04/10/17	09:55:41.19	00:00:00.00	A	982_000362714837	A4	1	8
04/10/17	09:55:45.83	00:00:00.00	A	982_000362714837	A4	1	22
04/10/17	09:55:57.77	00:00:00.00	A	982_000362714837	A4	1	58
04/10/17	09:56:09.51	00:00:00.00	A	982_000362714837	A4	1	57
04/10/17	09:56:09.91	00:00:00.00	A	982_000362714837	A4	1	1
04/10/17	10:16:19.32	00:00:00.00	A	982_000362714837	A4	1	5987
04/10/17	10:16:30.25	00:00:00.00	A	982_000362714837	A4	1	53
04/10/17	10:16:33.29	00:00:00.00	A	982_000362714837	A4	1	14
04/10/17	10:17:26.68	00:00:00.00	A	982_000362714837	A4	1	263
04/10/17	10:17:55.80	00:00:00.00	A	982_000362714837	A4	1	143
04/10/17	10:17:56.60	00:00:00.00	A	982_000362714837	A4	1	3
04/10/17	10:18:01.06	00:00:00.00	A	982_000362714837	A4	1	21
04/10/17	10:18:11.37	00:00:00.00	A	982_000362714837	A4	1	50
04/10/17	10:18:15.02	00:00:00.00	A	982_000362714837	A4	1	17
04/10/17	10:18:47.78	00:00:00.00	A	982_000362714837	A4	1	161
